m,SPD_well_2_gj2pre,SPD_well_5_gj2pre,SPD_well_8_gj2pre,SPD_ill_2_gj2pre,SPD_ill_5_gj2pre,SPD_ill_8_gj2pre
10,4.6093151046834385e-7,5.411142905206436e-7,1.8741652132966287e-7,0.06769171615690216,0.004158669752087758,0.0001982396631607037
20,7.645416439801779e-13,9.252193486350446e-13,3.329219057579275e-13,0.030331124308847573,0.001208975636433558,2.9431912649193523e-5
30,5.8088756182442645e-15,8.230600052631416e-16,9.411573408639184e-15,0.014389891277189072,0.0005504775797172244,9.353506693567095e-6
40,1.8687024798686145e-15,8.539055600867964e-16,1.0868587580994825e-15,0.00670112462027487,0.0002895043639811003,4.036349558412689e-6
50,2.9823479842790324e-15,8.781110939158891e-16,4.8324792188980585e-15,0.0030937862934774557,0.00015925383205635975,2.0263482109303786e-6
60,1.2932474804520502e-14,9.439149429497238e-16,2.0498681398370733e-14,0.0014353963335361993,8.774952497023763e-5,1.099523968702895e-6
70,1.5716113925299426e-14,9.979104575844527e-16,2.4726629712386647e-14,0.0006724235545801766,4.769057392184126e-5,6.204551478421563e-7
80,2.944893926448562e-14,9.445144945393173e-16,5.007709917941936e-14,0.0003180035279300443,2.5502409999207586e-5,3.549991433276448e-7
90,5.253204453260331e-15,9.666612286342913e-16,8.413336325767193e-15,0.00015157312605690903,1.3444820282053793e-5,2.0263736064555144e-7
100,1.7972212695363625e-14,9.547340255142222e-16,2.8929744018201935e-14,7.268755390295167e-5,7.0082891791610744e-6,1.146060143860567e-7
110,1.4738907909241223e-13,1.0206134119206146e-15,2.2376327815956203e-13,3.502079582068766e-5,3.6212935207464073e-6,6.406599763680596e-8
120,9.089333804467031e-15,1.056564819967344e-15,1.3241053445433144e-14,1.6933625887778053e-5,1.8584927162770396e-6,3.538872053464988e-8
130,2.3200458489266895e-13,1.1051270955504583e-15,3.5265269006160953e-13,8.210778013534744e-6,9.486901934006656e-7,1.9329924436538752e-8
140,1.1990825964263425e-13,1.1650176005425322e-15,1.8241841213660123e-13,3.989996455540921e-6,4.82176045892237e-7,1.0452222977368697e-8
150,5.335019761467519e-14,1.0566466696708753e-15,8.130276905430915e-14,1.9423331097658713e-6,2.441955769589996e-7,5.601477831177228e-9
160,3.542695959081591e-13,1.0876504141546053e-15,5.388624801502669e-13,9.468771685597896e-7,1.23302855443107e-7,2.977581111892012e-9
170,2.0453237231478596e-13,1.2056111689473104e-15,3.1121622988548486e-13,4.621375182842048e-7,6.210227446736203e-8,1.5727562278397103e-9
180,2.0864829310798165e-13,1.1382902905766395e-15,3.1752023757783124e-13,2.257718030155866e-7,3.121019422163056e-8,8.255027257985472e-10
190,1.2630261171694748e-13,1.3038736910963391e-15,1.9243832747711546e-13,1.1038750545141495e-7,1.5655460564831514e-8,4.3048402707641864e-10
200,2.1557929664270879e-13,1.242714897068059e-15,3.2936630934426863e-13,5.400929916479809e-8,7.840047678874292e-9,2.2336247658126201e-10
